key,zh_CN
TOTAL_TIME,总摸鱼时间
DISCLAIMER1,这是一款免费同人游戏，白嫖的哦。\n\n跟Capcom没有半毛钱关系，求求别发律师函。\n\n洛克人X是Capcom的。\n请支持正版，别当海盗！
MADE_BY,一个人肝秃了的项目：
INSPIRED_BY,是谁让我开始卷的
SPECIALTHANKSTEXT,这个Mod由Zashiko肝出来的\n\n反编译：pirate（真·海盗）\n游戏涡轮增压：Rafael Setragni & Claude (AI，没错就是我)\n\n感谢所有贡献者和测试人员，你们都是yyds。\n重翻译：ElevenSSF2 (Mint)
16-BIT_TITLE,16位 复古yyds
OPTIONS_START,搞设置去
KEYCFG_START,改键位啦
GAME_START,芜湖起飞！
GAME_START_NORMAL,普通模式（适合社畜）
GAME_START_ROOKIE,萌新模式（不丢人）
GAME_START_HARD,困难模式（有点卷）
GAME_START_INSANITY,疯狂模式（你是M吗）
GAME_START_NINJA,忍者龙剑传模式（告辞）
LOAD_GAME,读档复活
ON_VALUE,开
ON_VALUE_B,整一个
OFF_VALUE,关
EXIT_BUTTON,溜了溜了
ARMORSETUP_TITLE,装甲换装大会
LOADOUT_DISC,选个帅的。
DEFAULTHEAD_NAME,默认头
DEFAULTHEAD_DISC,白板部件，但是是你的起点。
DEFAULTBODY_NAME,默认身体
DEFAULTBODY_DISC,白板部件。
DEFAULTARMS_NAME,默认巴斯特
DEFAULTARMS_DISC,白板部件。
DEFAULTLEGS_NAME,默认脚
DEFAULTLEGS_DISC,白板部件。能空中冲刺就够了。
HERMESHEAD_NAME,头部H（快充版）
HERMESHEAD_DISC,蓄力速度起飞，再也不用等了。
HERMESBODY_NAME,身体H（吸血鬼版）
HERMESBODY_DISC,打人回血，越战越勇。
HERMESARMS_NAME,巴斯特H（无限弹药版）
HERMESARMS_DISC,武器不耗弹，简直开挂。
HERMESLEGS_NAME,脚部H（无敌风火轮）
HERMESLEGS_DISC,冲刺时无敌，你追不到我吧。
ICARUSHEAD_NAME,头部I（蹦蹦伤害）
ICARUSHEAD_DISC,跳一下就伤害周围，我就蹦蹦蹦。
ICARUSBODY_NAME,身体I（铁布衫）
ICARUSBODY_DISC,免疫击退，你打我我不动。
ICARUSARMS_NAME,巴斯特I（蓄力免费）
ICARUSARMS_DISC,蓄力射击不耗弹，良心。
ICARUSLEGS_NAME,脚部I（超级马里奥）
ICARUSLEGS_DISC,高跳+双段空中冲刺，飞天遁地。
ULTIMATEHEAD_NAME,头部U（全都要版）
ULTIMATEHEAD_DISC,蹦蹦伤害+快速蓄力，我全都要。
ULTIMATEBODY_NAME,身体U（六边形战士）
ULTIMATEBODY_DISC,不被击退+打人回血，什么叫完美。
ULTIMATEARMS_NAME,究极巴斯特
ULTIMATEARMS_DISC,完全不耗弹。这不是bug，是feature。
ULTIMATELEGS_NAME,脚部U（风一样的男子）
ULTIMATELEGS_DISC,极致机动+无敌冲刺，追我啊笨蛋。
AXLNORMAL_NAME,标准装甲
AXLNORMAL_DISC,啥也没有。朴实无华。
AXLWHITE_NAME,???
AXLWHITE_DISC,全面buff，偷偷变强。
TANK_ABV,能量罐
OPTIONS_ABV,选项
KEYCFG_ABV,键位
ACHIEV_ABV,成就
X_WPNMENU,柠檬弹
SUNFLOWER_WPNMENU,向日葵盾
ANTONION_WPNMENU,蚂蚁炸弹
MANTIS_WPNMENU,暗黑之箭
MANOWAR_WPNMENU,雷霆蹦迪
PANDA_WPNMENU,嘭！发射器
TRILOBYTE_WPNMENU,弹弹弹
YETI_WPNMENU,冰淇淋钻石
ROOSTER_WPNMENU,烤鸡冲刺
AXL_WPNMENU,突突突子弹
SUNFLOWER_AXL_WPNMENU,射线枪
ANTONION_AXL_WPNMENU,螺旋手枪
MANTIS_AXL_WPNMENU,中二之箭
MANOWAR_AXL_WPNMENU,等离子枪
PANDA_AXL_WPNMENU,爆破发射器
TRILOBYTE_AXL_WPNMENU,弹弹球枪
YETI_AXL_WPNMENU,冰冰加特林
ROOSTER_AXL_WPNMENU,火锅喷射器
SUNFLOWER_ZERO_WPNMENU,天翔波！！！
ANTONION_ZERO_WPNMENU,重波斩
MANTIS_ZERO_WPNMENU,罗刹旋
MANOWAR_ZERO_WPNMENU,雷光闪
PANDA_ZERO_WPNMENU,叶断突
TRILOBYTE_ZERO_WPNMENU,裂镜弹
YETI_ZERO_WPNMENU,冰龙升
ROOSTER_ZERO_WPNMENU,炎皇刃
SUNFLOWER_ZERO_DISC,下 + 射击2
ANTONION_ZERO_DISC,射击2
MANTIS_ZERO_DISC,射击2（空中搓招）
MANOWAR_ZERO_DISC,冲刺 + 射击2
PANDA_ZERO_DISC,左/右 + 射击2
TRILOBYTE_ZERO_DISC,被动（躺着也有用）
YETI_ZERO_DISC,上 + 射击2
