"key","zh_CN"
"TOTAL_TIME","总时间"
"DISCLAIMER1","这是一款免费同人游戏。\n\n本作与卡普空及其子公司或关联公司没有任何隶属、关联、授权、认可或官方联系。\n\n洛克人X是卡普空的财产。\n请支持官方正版！"
"MADE_BY","个人独立项目"
"INSPIRED_BY","灵感来源"
"SPECIALTHANKSTEXT","本模组由Zashiko制作\n\n反编译：pirate\n项目整理：Rafael Setragni & Claude (AI)\n\n特别感谢所有模组贡献者和测试人员。\n重新翻译：ElevenSSF2 (Mint)"
"16-BIT_TITLE","16位"
"OPTIONS_START","选项模式"
"KEYCFG_START","按键设置"
"GAME_START","开始游戏"
"GAME_START_NORMAL","普通模式"
"GAME_START_ROOKIE","新手模式"
"GAME_START_HARD","困难模式"
"GAME_START_INSANITY","疯狂模式"
"GAME_START_NINJA","忍者龙剑传模式"
"LOAD_GAME","读取存档"
"ON_VALUE","开"
"ON_VALUE_B","替代"
"OFF_VALUE","关"
"EXIT_BUTTON","退出"
"ARMORSETUP_TITLE","装甲设置"
"LOADOUT_DISC","选择你的装备。"
"DEFAULTHEAD_NAME","默认头部"
"DEFAULTHEAD_DISC","默认部件。"
"DEFAULTBODY_NAME","默认躯体"
"DEFAULTBODY_DISC","默认部件。"
"DEFAULTARMS_NAME","默认手炮"
"DEFAULTARMS_DISC","默认部件。"
"DEFAULTLEGS_NAME","默认脚部"
"DEFAULTLEGS_DISC","默认部件。可以空中冲刺。"
"HERMESHEAD_NAME","头部组件H"
"HERMESHEAD_DISC","手炮蓄力速度加快。"
"HERMESBODY_NAME","躯体组件H"
"HERMESBODY_DISC","手炮命中时恢复受到的伤害。"
"HERMESARMS_NAME","手炮组件H"
"HERMESARMS_DISC","武器射击不消耗弹药。"
"HERMESLEGS_NAME","脚部组件H"
"HERMESLEGS_DISC","冲刺时无敌。"
"ICARUSHEAD_NAME","头部组件I"
"ICARUSHEAD_DISC","跳跃时产生伤害区域。"
"ICARUSBODY_NAME","躯体组件I"
"ICARUSBODY_DISC","免疫击退。"
"ICARUSARMS_NAME","手炮组件I"
"ICARUSARMS_DISC","蓄力射击不消耗弹药。"
"ICARUSLEGS_NAME","脚部组件I"
"ICARUSLEGS_DISC","高跳跃 & 双重空中冲刺。"
"ULTIMATEHEAD_NAME","头部组件U"
"ULTIMATEHEAD_DISC","跳跃时产生伤害区域并加快蓄力。"
"ULTIMATEBODY_NAME","躯体组件U"
"ULTIMATEBODY_DISC","无击退并且手炮命中时恢复伤害。"
"ULTIMATEARMS_NAME","终极手炮"
"ULTIMATEARMS_DISC","射击不消耗弹药。"
"ULTIMATELEGS_NAME","脚部组件U"
"ULTIMATELEGS_DISC","机动性增强及无敌冲刺。"
"AXLNORMAL_NAME","标准装甲"
"AXLNORMAL_DISC","无特殊能力。"
"AXLWHITE_NAME","???"
"AXLWHITE_DISC","全面强化。"
"TANK_ABV","副油箱"
"OPTIONS_ABV","选项"
"KEYCFG_ABV","按键"
"ACHIEV_ABV","成就"
"X_WPNMENU","X手炮"
"SUNFLOWER_WPNMENU","光学护盾"
"ANTONION_WPNMENU","挤压炸弹"
"MANTIS_WPNMENU","暗之箭"
"MANOWAR_WPNMENU","雷霆舞者"
"PANDA_WPNMENU","爆裂发射器"
"TRILOBYTE_WPNMENU","水晶弹跳"
"YETI_WPNMENU","漂移钻石"
"ROOSTER_WPNMENU","烈火冲刺"
"AXL_WPNMENU","艾克斯子弹"
"SUNFLOWER_AXL_WPNMENU","射线枪"
"ANTONION_AXL_WPNMENU","螺旋麦格农"
"MANTIS_AXL_WPNMENU","暗黑之箭"
"MANOWAR_AXL_WPNMENU","等离子枪"
"PANDA_AXL_WPNMENU","爆裂发射器"
"TRILOBYTE_AXL_WPNMENU","反弹爆破枪"
"YETI_AXL_WPNMENU","冰霜加特林"
"ROOSTER_AXL_WPNMENU","火焰喷射器"
"SUNFLOWER_ZERO_WPNMENU","天翔波"
"ANTONION_ZERO_WPNMENU","重波斩"
"MANTIS_ZERO_WPNMENU","罗刹旋"
"MANOWAR_ZERO_WPNMENU","雷光闪"
"PANDA_ZERO_WPNMENU","叶断突"
"TRILOBYTE_ZERO_WPNMENU","裂镜弹"
"YETI_ZERO_WPNMENU","冰龙升"
"ROOSTER_ZERO_WPNMENU","焰皇刃"
"SUNFLOWER_ZERO_DISC","下 + 射击2"
"ANTONION_ZERO_DISC","射击2"
"MANTIS_ZERO_DISC","射击2（空中）"
"MANOWAR_ZERO_DISC","冲刺 + 射击2"
"PANDA_ZERO_DISC","左/右 + 射击2"
"TRILOBYTE_ZERO_DISC","被动"
"YETI_ZERO_DISC","上 + 射击2"
"ROOSTER_ZERO_DISC","下 + 射击2（空中）"
"ZERO_WPNMENU","Z光剑"
"BFAN_WPNMENU","B扇"
"DGLAIVE_WPNMENU","D薙刀"
"TBREAKER_WPNMENU","T碎击者"
"KKNUCKLE_WPNMENU","K拳套"
"VHANGER_WPNMENU","V悬挂者"
"SIGMABLADE_WPNMENU","西格玛之刃"
"YOUGOT_TITLE","获得了"
"SUNFLOWER_WEAPON","光学护盾"
"ANTONION_WEAPON","挤压炸弹"
"MANTIS_WEAPON","暗之箭"
"MANOWAR_WEAPON","雷霆舞者"
"PANDA_WEAPON","爆裂发射器"
"TRILOBYTE_WEAPON","水晶弹跳"
"YETI_WEAPON","漂移钻石"
"ROOSTER_WEAPON","烈火冲刺"
"OPTIONS_TITLE","选项"
"LANGUAGE_OPTION","语言"
"BOSS_REMIX_OPTION","Boss混音"
"REMIX_OPTION","16位混音"
"DT_DASH_OPTION","双击冲刺"
"SKIP_DIAG_OPTION","可跳过对话"
"CHARGE_OPTION","蓄力淡出"
